시장정보,지번 주소,도로명 주소,지리정보,시장개설주기,시장유형,시장크기,점포수,시도,시군구
산내시장,경상북도 경주시 산내면 의곡리 155-10,경상북도 경주시 산내면 의곡중앙길 27,"{'latitude': '35.7579316', 'longitude': '129.0463737'}",정기,전통시장,소형시장,69,경북,경주시
안강공설시장,경상북도 경주시 안강읍 양월리 1350-1,경상북도 경주시 안강읍 비화중로 3길 26-3,"{'latitude': '35.9900129', 'longitude': '129.2220917'}",상설+정기,전통시장,중형시장,148,경북,경주시
양남시장,경상북도 경주시 하서리 1502,경상북도 경주시 해변공원길 73,"{'latitude': '35.6752126', 'longitude': '129.4638347'}",상설+정기,전통시장,소형시장,119,경북,경주시
양북시장,경상북도 경주시 양북면 어일리 1295-556,경상북도 경주시 양북면 감은로 58-30,"{'latitude': '35.7904176', 'longitude': '129.4411902'}",정기,전통시장,소형시장,148,경북,경주시
외동시장,경상북도 경주시 외동읍 입실리 1018-7,경상북도 경주시 외동읍 입실시장길 8-6,"{'latitude': '35.7146280', 'longitude': '129.3256858'}",정기,전통시장,소형시장,148,경북,경주시
제2경주중심상가시장,경상북도 경주시 노동동 230,경상북도 경주시 원효로 89,"{'latitude': '35.8421457', 'longitude': '129.2106723'}",상설+정기,전통시장,중대형시장,100,경북,경주시
구미새마을중앙시장,경상북도 구미시 원평동,경상북도 구미시 중앙로9길 11,"{'latitude': '36.1270552', 'longitude': '128.339921'}",상설,전통시장,중형시장,102,경북,구미시
선산봉황시장,경상북도 구미시 선산읍 완전리 253,경상북도 구미시 선산읍 단계동길 24,"{'latitude': '36.2397549', 'longitude': '128.3011306'}",상설+정기,전통시장,중형시장,593,경북,구미시
평화시장,경상북도 김천시 평화동 259-1,경상북도 김천시 김천로100,"{'latitude': '36.1237025', 'longitude': '128.1129368'}",상설+정기,전통시장,소형시장,99,경북,김천시
황금시장,경상북도 김천시 황금동 31-1,경상북도 김천시 황금시장4길20,"{'latitude': '36.1166593', 'longitude': '128.1253004'}",상설+정기,전통시장,중형시장,59,경북,김천시
가은아자개시장,경상북도 문경시 가은읍 왕능리 275-26,경상북도 문경시 가은읍 가은5길 7,"{'latitude': '36.6464440', 'longitude': '128.0609177'}",상설+정기,전통시장,소형시장,59,경북,문경시
문경시장,경상북도 문경시 문경읍 하리 88-2,경상북도 문경시 문경읍 문희로 41-15,"{'latitude': '36.7355777', 'longitude': '128.1073960'}",정기,전통시장,소형시장,50,경북,문경시
신흥시장,경상북도 문경시 흥덕동 794-1,경상북도 문경시 신흥시장길 19,"{'latitude': '36.6012931', 'longitude': '128.2042448'}",상설+정기,전통시장,소형시장,346,경북,문경시
봉화상설시장,경상북도 봉화군 봉화읍 내성리 394-1,경상북도 봉화군 봉화읍 신시장1길 4,"{'latitude': '36.8899405', 'longitude': '128.7357573'}",상설+정기,전통시장,중형시장,79,경북,봉화군
